vOTU,CK_7,CK_14,CK_24,N_0.5_5,N_0.5_10,N_0.5_15,N_1_6,N_1_9,N_1_13,SS_0.5_4,SS_0.5_12,SS_0.5_18,SS_1_2,SS_1_20,SS_1_22,SS_2_1,SS_2_17,SS_2_21,SS_4_11,SS_4_16,SS_4_19,CM_1_3,CM_1_8,CM_1_23
1CM_k141_1646517,0.000000107,0.00000185,0.000000486,2.54E-08,1.92E-08,0.000000793,5.38E-08,2.56E-08,7.85E-08,0.000000391,0.00000126,0.0000012,0.000000127,0.000018,0.0000295,0.000000731,0.0000121,0.00002,2.38E-08,0.00000305,0.00000055,0.00000877,0,3.05E-08
4SS_k141_2300367,2.89E-08,3.78E-08,1.65E-08,0.000000027,0.000000204,0.000000936,6.52E-08,0.000000384,0.00000141,0.0000109,0.00000447,0.0000132,4.91E-08,0.0000026,0.000000882,0.00000522,0.0000044,0.00000425,0.0000267,0.00000115,0.000000064,0.0000251,6.97E-08,0.000000019
0.5N_k141_76089,2.64E-08,2.67E-08,0.000000175,0.0000678,2.95E-08,0.000000783,0.00000007,2.02E-08,0.00000142,0.00000219,0.00000011,0.000000335,0.0000169,0.000000423,0.00000162,0.000000194,0.000000183,0.00000125,0.00000016,0.00000306,0.00000644,0.000000681,0.00000082,0.000000516
4SS_k141_722448,0.00000211,0.00000115,0.00000134,0.000000142,0.000000119,0.000000146,0.000000259,9.05E-08,0.0000298,0.00000059,0.00000389,0.00000391,0.00000792,0.0000008,0.00000663,0.0000225,0.00000733,0.000000584,0.0000553,0.000154596,0.000198244,6.86E-08,0.0000166,0.00000308
2SS_k141_1924363,6.31E-09,0.000000014,0,0,0,0,1.36E-08,6.46E-09,2.64E-08,0,1.72E-08,0.000000578,0,0,4.92E-09,0.0000205,9.44E-08,0.000000302,0.00000134,0.000000114,0.000000007,3.18E-09,1.01E-08,0
1CM_k141_383223,0.000000512,0.000000247,8.43E-08,0.000000133,8.43E-08,0.00000105,0.000000251,7.19E-08,0.000000225,0.00000013,0.00000524,0.000000269,0.00000139,0.0000112,0.000388893,0.000000108,0.00000169,0.00000996,0.00000129,0.000000248,0.00000347,0.000000135,0.00000367,0.000117927
0.5S_k141_860744,0.00000145,0.0000017,0.00000102,2.26E-08,0,0.000000447,0.000000024,1.14E-08,0.000000455,0.00000201,0.0000146,0.00000218,0.00000005,0.00000674,0.0000295,0.00000212,0.0000164,0.00000681,3.19E-08,0.00000141,0.000000642,0.0000012,0,7.78E-08
2SS_k141_472470,0.000000303,0.000000281,0.000000395,0.000000445,0.00000326,0.00000198,0.00000124,0.00000148,0.00000363,0.000000791,0.00000704,0.0000126,4.44E-08,0.0000112,0.00000268,0.00000176,0.000029,0.0000223,0.00000407,0.0000058,0.0000146,0.00000475,2.39E-08,0.0000001
4SS_k141_2824243,0,1.64E-08,0,0,0,7.61E-09,7.83E-09,3.78E-09,7.72E-09,0,1.67E-08,5.79E-09,0,4.28E-08,1.73E-08,1.13E-08,3.09E-08,1.86E-08,0.0000217,0.000000663,0.000000178,0.000000026,0,0
1CM_k141_1805741,0,0,0,0,0,0,0,0,4.75E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00000745,0,0
4SS_k141_397951,0,2.57E-08,0,0,0,0,0,0,0,2.06E-08,0.0000113,3.62E-08,0,0,0,0.000000575,0,0,0.0000119,0,5.13E-08,0,0,0.000000217
0.5N_k141_2031168,0.000000046,0.000000017,1.64E-08,4.65E-08,0.000000117,0.0000103,0,0.000000389,0,6.81E-08,0.0000201,0.00000106,0.000000153,0.00000359,0.00000643,0.000000035,0.0000192,0.00000168,3.64E-08,0,0.000000034,0.00000698,0.000000639,0.000000181
0.5S_k141_1652547,3.52E-08,6.21E-08,0.000000603,1.92E-08,0.000000107,0.000000499,0.0000197,0.00000037,0.000000851,4.49E-08,0.0000128,0.00000151,1.88E-08,9.26E-09,0.000000163,4.8E-09,0.00000062,2.38E-08,0.000000012,2.29E-08,0.000000127,0.000000136,1.02E-08,3.67E-08
0.5N_k141_1496985,0.000000779,0.000000274,0.000000428,0.00000435,0.00000156,0.00000807,0.00000431,9.23E-09,0.00000643,0.00000528,0.0000028,0.00000103,0.00000296,0.00000557,0.00000386,0.00000574,0.00000104,0.0000027,0.000000591,0.00000574,0.00000262,0.00000857,0.00000503,0.000000462
2SS_k141_690098,4.09E-08,0,0.000000315,0.00000654,0.00000318,0.000000745,0.0000185,5.23E-08,0.00000145,0.00000749,0.00000545,0.00000264,0.00000384,0.000000194,0.00000405,0.00000104,0.0000464,0.00000414,0.000000109,0,0,0.000000347,0.00000872,0.000000592
