ID,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_8,0.5SS_4,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_icense,0,0,0,0.0061856,0,0,0,0,0.0014258,0,0,0,0,0.0014494,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_vulgaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008891,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Aminobacter|s__Aminobacter_aminovorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018384,0,0.0164895
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_alhagi,0.0491951,0.0433359,0.0291012,0.0491933,0.0504332,0.0619807,0.0571847,0.0877116,0.0593632,0.0650287,0.0524904,0.0432831,0.0414303,0.1198563,0.1012453,0.0406879,0.0640486,0.1005873,0.0424479,0.022563,0.0300871,0.047017,0.0716887,0.0499609
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Ensifer|s__Ensifer_adhaerens,0.0223371,0,0.0042114,0,0,0,0,0,0,0.0441099,0,0,0,0,0,0.0019794,0,0,0,0,0,0,0,0.0038717
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_pusense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114069,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium|s__Sinorhizobium_fredii,0,0,0,0,0,0,0.0031559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium|s__Sinorhizobium_meliloti,0.0042596,0,0.0360685,0.0124749,0,0,0.0035654,0,0.0198879,0,0,0.003363,0,0,0,0.0204761,0,0,0.0007085,0.0013036,0.0070391,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter|s__Methyloceanibacter_marginalis,0,0,0,0,0.0015867,0,0.0023246,0.0028651,0.0008629,0.0052949,0,0.0137633,0.0055692,0.0223526,0.0055683,0.0458642,0.021244,0.0279481,0.0582183,0.0359142,0.0743779,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter|s__Methyloceanibacter_superfactus,0,0,0,0,0,0,0.0014838,0,0,0.003075,0,0,0,0.0027034,0,0.0056782,0.0030859,0.0043726,0.0025126,0.0041058,0.0036782,0,0,0
